247	-17
278	39
80.5	-7.5
54.5	164
246	-208.5
197.5	-161.5
166.5	-101.5
246.5	9.5
32.5	-127
-34.5	-10
303.5	33.5
121	-172.5
247	-114.5
348	-37
41.5	150
101.5	-123.5
-155	-119
-13.5	57.5
-65	-104
89	-155
38.5	-68.5
319	-34.5
113.5	53
96.5	-28.5
217.5	-81.5
108	72.5
71	-6
112	110.5
-41	98
45	143
